"","Npredator","Nprey","Nconsumed.mean","Nconsumed.se","n","Time"
"1",1,4,2.92,0.26,16,10
"2",1,10,5.54,0.38,16,10
"3",1,18,6.18,0.81,16,10
"4",1,28,7.16,0.78,16,10
"5",1,40,8.18,0.64,16,10
"6",1,65,9.38,0.47,16,10
"7",2,12,8.99,0.4,12,10
"8",2,18,11.07,0.76,12,10
"9",2,26,12.84,0.8,12,10
"10",2,40,14.94,1.35,12,10
"11",2,60,16.24,1.19,12,10
"12",2,90,17.37,1.67,12,10
"13",4,25,21.44,0.52,9,10
"14",4,35,25.06,1.24,9,10
"15",4,50,30.66,2.08,9,10
"16",4,70,33.45,2.82,9,10
"17",4,95,36.84,5.22,9,10
"18",4,120,38.29,2.78,9,10
"19",6,45,35.68,1.07,9,10
"20",6,55,40.88,2.04,9,10
"21",6,70,50.3,3.37,9,10
"22",6,90,51.2,3.11,9,10
"23",6,120,53.64,3.32,9,10
"24",6,150,59.54,4.01,9,10
"25",8,51,44.77,1.86,6,10
"26",8,60,48.98,4.02,6,10
"27",8,75,61.62,3.95,6,10
"28",8,96,68.16,3.86,6,10
"29",8,120,68.98,7.84,6,10
"30",8,150,73.88,6.54,6,10
