"","Npredator","Nprey","Nconsumed.mean","Nconsumed.se","n","Time"
"1",1,12,3.6,0.29,12,24
"2",1,17,4.96,0.32,12,24
"3",1,24,5.62,0.42,12,24
"4",1,36,6.37,0.38,12,24
"5",1,50,7.96,0.51,12,24
"6",1,70,8.21,0.38,12,24
"7",2,24,14.39,1.25,6,24
"8",2,35,17.42,1.37,6,24
"9",2,50,20.94,1.56,6,24
"10",2,70,20.17,1.47,6,24
"11",2,100,26.08,1.38,6,24
"12",2,140,25.12,1.43,6,24
"13",4,35,26.1,0.52,4,24
"14",4,49,34.32,2.08,4,24
"15",4,70,38.94,4.01,4,24
"16",4,100,41.69,2.95,4,24
"17",4,141,46.84,3.95,4,24
"18",4,198,42.52,2.96,4,24
"19",6,40,31.94,0.95,3,24
"20",6,58,36.65,1.87,3,24
"21",6,80,49.58,2.44,3,24
"22",6,114,62.07,3.85,3,24
"23",6,160,59.82,5,3,24
"24",6,224,63.41,5.57,3,24
"25",8,44,37.86,0,3,24
"26",8,63,47.91,0,3,24
"27",8,88,57.46,3.93,3,24
"28",8,127,71.67,3.46,3,24
"29",8,180,65.42,5.26,3,24
"30",8,252,73.54,4.46,3,24
