"","Npredator","Nprey","Nconsumed.mean","Nconsumed.se","n","Time"
"1",1,2,1.16,0.2,14,24
"2",1,5,1.95,0.26,14,24
"3",1,12,3.16,0.31,14,24
"4",1,21,3.76,0.37,14,24
"5",1,33,4.62,0.44,14,24
"6",1,50,5.11,0.31,14,24
"7",2,7,4.04,0.66,7,24
"8",2,12,5.33,0.51,7,24
"9",2,18,6.5,0.8,7,24
"10",2,30,8.87,1.45,7,24
"11",2,48,9.27,0.79,7,24
"12",2,70,10.45,1.47,7,24
"13",4,10,7.66,0.98,5,24
"14",4,15,9.99,0.79,5,24
"15",4,25,11.52,1.53,5,24
"16",4,40,12.05,0.8,5,24
"17",4,60,16.39,1.2,5,24
"18",4,90,18.1,1.46,5,24
"19",6,20,12.41,1.69,4,24
"20",6,30,16.95,1.84,4,24
"21",6,40,19.52,3.17,4,24
"22",6,60,21.42,0.77,4,24
"23",6,80,22.39,1.73,4,24
"24",6,120,24.83,1.15,4,24
"25",8,25,16.82,1.28,4,24
"26",8,35,19.26,0.98,4,24
"27",8,50,21.3,1.34,4,24
"28",8,70,26.34,2.35,4,24
"29",8,100,29.21,2.88,4,24
"30",8,140,30.1,2.98,4,24
